battle_turn,pikachu_hp
Round 1828 - Turn 00:00,39.65475580391023
Round 1828 - Turn 01:00,9.885538485444535
Round 1828 - Turn 02:00,66.83661574671063
Round 1828 - Turn 03:00,65.99670928044767
Round 1828 - Turn 04:00,72.48488943771859
Round 1828 - Turn 05:00,40.27444637510052
Round 1828 - Turn 06:00,33.38250401663371
Round 1828 - Turn 07:00,11.78667988827209
Round 1828 - Turn 08:00,27.421227074720804
Round 1828 - Turn 09:00,32.98469026729625
Round 1828 - Turn 10:00,11.656677258268509
Round 1828 - Turn 11:00,15.620764003265911
Round 1828 - Turn 12:00,22.184407770367024
Round 1828 - Turn 13:00,11.167698576075718
Round 1828 - Turn 14:00,11.804968103229061
Round 1828 - Turn 15:00,10.171129655358648
Round 1828 - Turn 16:00,52.40746430269316
Round 1828 - Turn 17:00,28.98613435174619
Round 1828 - Turn 18:00,11.020379895036413
Round 1828 - Turn 19:00,12.768669448103303
Round 1828 - Turn 20:00,17.40641250776863
Round 1828 - Turn 21:00,9.974874498359316
Round 1828 - Turn 22:00,74.9537674357651
Round 1828 - Turn 23:00,72.60677704458266
Round 1829 - Turn 00:00,12.816995731327864
Round 1829 - Turn 01:00,52.636794554687455
Round 1829 - Turn 02:00,45.322746825196795
Round 1829 - Turn 03:00,12.10574214725304
Round 1829 - Turn 04:00,67.72306193891471
Round 1829 - Turn 05:00,21.69360033012115
Round 1829 - Turn 06:00,25.581106336051143
Round 1829 - Turn 07:00,11.995382279340134
Round 1829 - Turn 08:00,46.839717037008306
Round 1829 - Turn 09:00,33.65221396393043
Round 1829 - Turn 10:00,10.262223236466191
Round 1829 - Turn 11:00,55.54415180980952
Round 1829 - Turn 12:00,14.839947329424994
Round 1829 - Turn 13:00,28.575928218257214
Round 1829 - Turn 14:00,10.890121534681995
Round 1829 - Turn 15:00,67.3348125635283
Round 1829 - Turn 16:00,66.2253916271986
Round 1829 - Turn 17:00,11.93846890252896
Round 1829 - Turn 18:00,21.261951828832974
Round 1829 - Turn 19:00,11.761961719431397
Round 1829 - Turn 20:00,32.962572361267256
Round 1829 - Turn 21:00,24.20420676487926
Round 1829 - Turn 22:00,23.456080627268044
Round 1829 - Turn 23:00,9.81398354389232
Round 1830 - Turn 00:00,63.75971848186802
