battle_turn,pikachu_hp
Round 1828 - Turn 00:00,42.43659580324788
Round 1828 - Turn 01:00,8.360978731689665
Round 1828 - Turn 02:00,65.68272283907976
Round 1828 - Turn 03:00,60.13113963703522
Round 1828 - Turn 04:00,72.59299893417216
Round 1828 - Turn 05:00,40.66272260658039
Round 1828 - Turn 06:00,30.959484972598442
Round 1828 - Turn 07:00,11.811537271678857
Round 1828 - Turn 08:00,35.52893156025793
Round 1828 - Turn 09:00,32.87085642444737
Round 1828 - Turn 10:00,13.551101284495077
Round 1828 - Turn 11:00,13.756465175281974
Round 1828 - Turn 12:00,20.451093605903765
Round 1828 - Turn 13:00,9.574924600638509
Round 1828 - Turn 14:00,12.318993252595472
Round 1828 - Turn 15:00,11.575961026222961
Round 1828 - Turn 16:00,53.36346988528453
Round 1828 - Turn 17:00,28.065802873667003
Round 1828 - Turn 18:00,10.913858110957381
Round 1828 - Turn 19:00,12.736565212953135
Round 1828 - Turn 20:00,16.23306375833142
Round 1828 - Turn 21:00,10.879294183344292
Round 1828 - Turn 22:00,71.2978150417466
Round 1828 - Turn 23:00,71.12056322405729
Round 1829 - Turn 00:00,14.319302712962632
Round 1829 - Turn 01:00,54.57450463177314
Round 1829 - Turn 02:00,46.09055136628392
Round 1829 - Turn 03:00,10.816414306192225
Round 1829 - Turn 04:00,68.35963858854225
Round 1829 - Turn 05:00,23.23956832922374
Round 1829 - Turn 06:00,26.29135623880932
Round 1829 - Turn 07:00,10.502398573428493
Round 1829 - Turn 08:00,48.08442005752683
Round 1829 - Turn 09:00,33.77612392254609
Round 1829 - Turn 10:00,9.966869087479594
Round 1829 - Turn 11:00,53.5524048764912
Round 1829 - Turn 12:00,13.953745360446979
Round 1829 - Turn 13:00,28.63265253202761
Round 1829 - Turn 14:00,10.201394054963092
Round 1829 - Turn 15:00,68.72489202140795
Round 1829 - Turn 16:00,67.97495769530934
Round 1829 - Turn 17:00,12.961479070586021
Round 1829 - Turn 18:00,24.30958294492928
Round 1829 - Turn 19:00,15.184392617226823
Round 1829 - Turn 20:00,32.642135390479105
Round 1829 - Turn 21:00,25.663695070227885
Round 1829 - Turn 22:00,23.413002834012513
Round 1829 - Turn 23:00,11.01905449766645
Round 1830 - Turn 00:00,61.59569307790799
Round 1830 - Turn 01:00,48.37026927364287
Round 1830 - Turn 02:00,37.59951901664372
Round 1830 - Turn 03:00,41.59291632700149
Round 1830 - Turn 04:00,21.830345197431804
Round 1830 - Turn 05:00,13.346374971756262
Round 1830 - Turn 06:00,18.510281465487324
Round 1830 - Turn 07:00,57.055611348210554
Round 1830 - Turn 08:00,46.26589651848722
Round 1830 - Turn 09:00,42.6697728190085
Round 1830 - Turn 10:00,12.485830043937968
Round 1830 - Turn 11:00,11.476976383031765
Round 1830 - Turn 12:00,39.14990921138267
Round 1830 - Turn 13:00,16.324192365188367
Round 1830 - Turn 14:00,10.637824970847605
Round 1830 - Turn 15:00,54.53079260882257
Round 1830 - Turn 16:00,19.551822160927813
Round 1830 - Turn 17:00,13.222785161281015
Round 1830 - Turn 18:00,21.838900547399362
Round 1830 - Turn 19:00,11.290972573703728
Round 1830 - Turn 20:00,31.60658309868486
Round 1830 - Turn 21:00,26.18730347081901
Round 1830 - Turn 22:00,16.267600555916143
Round 1830 - Turn 23:00,46.21866890465432
Round 1831 - Turn 00:00,11.287748648395798
Round 1831 - Turn 01:00,11.284641838494174
Round 1831 - Turn 02:00,53.422724436860314
Round 1831 - Turn 03:00,20.077611146030712
Round 1831 - Turn 04:00,8.696290032577837
Round 1831 - Turn 05:00,19.341781917861162
Round 1831 - Turn 06:00,16.044049388990793
Round 1831 - Turn 07:00,69.4564389417735
Round 1831 - Turn 08:00,45.58958360127717
Round 1831 - Turn 09:00,25.90251640231315
Round 1831 - Turn 10:00,12.41971444661943
Round 1831 - Turn 11:00,72.66788052511666
Round 1831 - Turn 12:00,23.1204316067526
Round 1831 - Turn 13:00,10.812093152909544
